Paradigm,Trial,Objective,Time,Success
1,1,Negative Y,48.47470426559448,True
1,2,Negative Z,32.599985122680664,True
1,3,Positive Y,24.64700484275818,True
1,4,Positive Z,24.81209397315979,True
1,5,Positive X,28.043859481811523,True
1,6,Negative Y,21.229739904403687,True
1,7,Negative Z,17.78463363647461,True
1,8,Positive Y,16.079410076141357,True
1,9,Positive Z,17.870553731918335,True
1,10,Positive X,55.205474615097046,True
1,11,Negative Y,17.764946699142456,True
1,12,Negative Z,15.891778230667114,True
1,13,Positive Y,18.749873876571655,True
1,14,Positive Z,17.055379152297974,True
1,15,Positive X,25.59513568878174,True
1,16,Negative Y,26.047104835510254,True
1,17,Negative Z,23.646026611328125,True
1,18,Positive Y,25.444874048233032,True
1,19,Positive Z,20.03913426399231,True
1,20,Positive X,26.66912055015564,True
1,21,Negative Y,20.83067035675049,True
1,22,Negative Z,19.555787801742554,True
1,23,Positive Y,16.435359716415405,True
1,24,Positive Z,16.719415426254272,True
1,25,Positive X,16.615525245666504,True
1,26,Negative Y,17.790684461593628,True
1,27,Negative Z,18.514461517333984,True
1,28,Positive Y,14.224190711975098,True
1,29,Positive Z,14.874075174331665,True
1,30,Positive X,16.970874786376953,True
1,31,Negative Y,17.356503009796143,True
1,32,Negative Z,16.09805941581726,True
1,33,Positive Y,21.24207067489624,True
1,34,Positive Z,18.97748565673828,True
1,35,Positive X,23.161512851715088,True
1,36,Negative Y,36.484426736831665,True
1,37,Negative Z,16.845784664154053,True
1,38,Positive Y,14.928051948547363,True
1,39,Positive Z,25.40142059326172,True
1,40,Positive X,18.228182077407837,True
1,41,Negative Y,24.53653120994568,True
1,42,Negative Z,20.992736101150513,True
1,43,Positive Y,17.747124910354614,True
1,44,Positive Z,15.373070240020752,True
1,45,Positive X,17.821912050247192,True
1,46,Negative Y,26.878746032714844,True
1,47,Negative Z,13.108750581741333,True
1,48,Positive Y,15.533144235610962,True
1,49,Positive Z,20.353649616241455,True
1,50,Positive X,13.215746402740479,True
